full_text,cleansing,Tokenization and Case Folding,Filtering/stopword removal,stemming_data
@tvOneNews Inikah dampak data pemilih yg bocor tsb??  Wahai kpu.. Jgn main kotor. Eksistensi bgs ini jgn kau pertaruhkan demi slh satu pasangan jagoan penguasa.,tvOneNews Inikah dampak data pemilih yg bocor tsb  Wahai kpu Jgn main kotor Eksistensi bgs ini jgn kau pertaruhkan demi slh satu pasangan jagoan penguasa,"['tvonenews', 'inikah', 'dampak', 'data', 'pemilih', 'yg', 'bocor', 'tsb', 'wahai', 'kpu', 'jgn', 'main', 'kotor', 'eksistensi', 'bgs', 'ini', 'jgn', 'kau', 'pertaruhkan', 'demi', 'slh', 'satu', 'pasangan', 'jagoan', 'penguasa']","['tvonenews', 'dampak', 'data', 'pemilih', 'yg', 'bocor', 'tsb', 'kpu', 'jgn', 'main', 'kotor', 'eksistensi', 'bgs', 'jgn', 'kau', 'pertaruhkan', 'slh', 'pasangan', 'jagoan', 'penguasa']",tvonenews dampak data pilih yg bocor tsb kpu jgn main kotor eksistensi bgs jgn kau taruh slh pasang jago kuasa
Bisa gak sih ada Mosi Tidak Percaya sama KPU? Soalnya org2 nya piliham Mukidi semua.. ingat data pemilih bocor di server KPU trus ada yg jual? 🤦🏻‍♂️,Bisa gak sih ada Mosi Tidak Percaya sama KPU Soalnya org nya piliham Mukidi semua ingat data pemilih bocor di server KPU trus ada yg jual 🤦‍♂️,"['bisa', 'gak', 'sih', 'ada', 'mosi', 'tidak', 'percaya', 'sama', 'kpu', 'soalnya', 'org', 'nya', 'piliham', 'mukidi', 'semua', 'ingat', 'data', 'pemilih', 'bocor', 'di', 'server', 'kpu', 'trus', 'ada', 'yg', 'jual', '🤦\u200d♂️']","['gak', 'sih', 'mosi', 'percaya', 'kpu', 'org', 'nya', 'piliham', 'mukidi', 'data', 'pemilih', 'bocor', 'server', 'kpu', 'trus', 'yg', 'jual', '🤦\u200d♂️']",gak sih mosi percaya kpu org nya piliham mukidi data pilih bocor server kpu trus yg jual 
@msaid_didu @Mazing93 Gibran dapet giliran PERTAMA dalam menyampaikan visi misi aja udah aneh... Nape @KPU_ID kok gini yak..? Blm Data pemilih yg bocor kemaren.. Ckckck,msaiddidu Mazing Gibran dapet giliran PERTAMA dalam menyampaikan visi misi aja udah aneh Nape KPUID kok gini yak Blm Data pemilih yg bocor kemaren Ckckck,"['msaiddidu', 'mazing', 'gibran', 'dapet', 'giliran', 'pertama', 'dalam', 'menyampaikan', 'visi', 'misi', 'aja', 'udah', 'aneh', 'nape', 'kpuid', 'kok', 'gini', 'yak', 'blm', 'data', 'pemilih', 'yg', 'bocor', 'kemaren', 'ckckck']","['msaiddidu', 'mazing', 'gibran', 'dapet', 'giliran', 'visi', 'misi', 'aja', 'udah', 'aneh', 'nape', 'kpuid', 'gini', 'yak', 'blm', 'data', 'pemilih', 'yg', 'bocor', 'kemaren', 'ckckck']",msaiddidu mazing gibran dapet gilir visi misi aja udah aneh nape kpuid gin yak blm data pilih yg bocor kemaren ckckck
"Y mau bagaimana lagi, Indonesia butuh seorang yg sok tahu, sok mengerti... Kenyataan nya kosong... Padahal baru2 ini data pemilih di data server KPU bocor... Duh gibrani awokwokwokwok 🤦 https://t.co/TyccfdqIjm",Y mau bagaimana lagi Indonesia butuh seorang yg sok tahu sok mengerti Kenyataan nya kosong Padahal baru ini data pemilih di data server KPU bocor Duh gibrani awokwokwokwok 🤦 ,"['y', 'mau', 'bagaimana', 'lagi', 'indonesia', 'butuh', 'seorang', 'yg', 'sok', 'tahu', 'sok', 'mengerti', 'kenyataan', 'nya', 'kosong', 'padahal', 'baru', 'ini', 'data', 'pemilih', 'di', 'data', 'server', 'kpu', 'bocor', 'duh', 'gibrani', 'awokwokwokwok', '🤦']","['y', 'indonesia', 'butuh', 'yg', 'sok', 'sok', 'mengerti', 'kenyataan', 'nya', 'kosong', 'data', 'pemilih', 'data', 'server', 'kpu', 'bocor', 'duh', 'gibrani', 'awokwokwokwok', '🤦']",y indonesia butuh yg sok sok erti nyata nya kosong data pilih data server kpu bocor duh gibrani awokwokwokwok 
"204 Juta Data Pemilih Bocor Dibobol Hacker, KPU Buka Suara  https://t.co/UhXllqa4XB  https://t.co/UhXllqa4XB", Juta Data Pemilih Bocor Dibobol Hacker KPU Buka Suara    ,"['juta', 'data', 'pemilih', 'bocor', 'dibobol', 'hacker', 'kpu', 'buka', 'suara']","['juta', 'data', 'pemilih', 'bocor', 'dibobol', 'hacker', 'kpu', 'buka', 'suara']",juta data pilih bocor bobol hacker kpu buka suara
KPU sebagai penyelenggara pemilu harus sangat berhati-hati dan menjamin agar data pemilih tidak bocor https://t.co/iSJPjcaG6P,KPU sebagai penyelenggara pemilu harus sangat berhatihati dan menjamin agar data pemilih tidak bocor ,"['kpu', 'sebagai', 'penyelenggara', 'pemilu', 'harus', 'sangat', 'berhatihati', 'dan', 'menjamin', 'agar', 'data', 'pemilih', 'tidak', 'bocor']","['kpu', 'penyelenggara', 'pemilu', 'berhatihati', 'menjamin', 'data', 'pemilih', 'bocor']",kpu selenggara milu berhatihati jamin data pilih bocor
"Memang @KPU_ID punya 'TOOLS' apa utk mendalami temuan @PPATK ini? Data pemilih saja bisa bocor, apalagi terkait masalah finasial spt ini.... Gimmick terus @KPU_ID &amp  @bawaslu_RI  https://t.co/dvHnsbFR39",Memang KPUID punya TOOLS apa utk mendalami temuan PPATK ini Data pemilih saja bisa bocor apalagi terkait masalah finasial spt ini Gimmick terus KPUID amp  bawasluRI  ,"['memang', 'kpuid', 'punya', 'tools', 'apa', 'utk', 'mendalami', 'temuan', 'ppatk', 'ini', 'data', 'pemilih', 'saja', 'bisa', 'bocor', 'apalagi', 'terkait', 'masalah', 'finasial', 'spt', 'ini', 'gimmick', 'terus', 'kpuid', 'amp', 'bawasluri']","['kpuid', 'tools', 'utk', 'mendalami', 'temuan', 'ppatk', 'data', 'pemilih', 'bocor', 'terkait', 'finasial', 'spt', 'gimmick', 'kpuid', 'amp', 'bawasluri']",kpuid tools utk dalam temu ppatk data pilih bocor kait finasial spt gimmick kpuid amp bawasluri
"@Mbok_Ewett bs jadi hoax doang 🙈🤭  buktinya viral tuh data calon pemilih di KPU bs bocor, padahal yg jagain lembaga² mentereng semua 🤪🤭",MbokEwett bs jadi hoax doang 🤭  buktinya viral tuh data calon pemilih di KPU bs bocor padahal yg jagain lembaga² mentereng semua 🤪🤭,"['mbokewett', 'bs', 'jadi', 'hoax', 'doang', '🤭', 'buktinya', 'viral', 'tuh', 'data', 'calon', 'pemilih', 'di', 'kpu', 'bs', 'bocor', 'padahal', 'yg', 'jagain', 'lembaga²', 'mentereng', 'semua', '🤪🤭']","['mbokewett', 'bs', 'hoax', 'doang', '🤭', 'buktinya', 'viral', 'tuh', 'data', 'calon', 'pemilih', 'kpu', 'bs', 'bocor', 'yg', 'jagain', 'lembaga²', 'mentereng', '🤪🤭']",mbokewett bs hoax doang  bukti viral tuh data calon pilih kpu bs bocor yg jagain lembaga mentereng 
Sebanyak 204 juta data Daftar Pemilih Tetap (DPT) di situs Komisi Pemilihan Umum (KPU) diduga bocor. Pakar sebut sekecil apapun yang bocor tetaplah penting. https://t.co/vfYEnhM9CS,Sebanyak  juta data Daftar Pemilih Tetap DPT di situs Komisi Pemilihan Umum KPU diduga bocor Pakar sebut sekecil apapun yang bocor tetaplah penting ,"['sebanyak', 'juta', 'data', 'daftar', 'pemilih', 'tetap', 'dpt', 'di', 'situs', 'komisi', 'pemilihan', 'umum', 'kpu', 'diduga', 'bocor', 'pakar', 'sebut', 'sekecil', 'apapun', 'yang', 'bocor', 'tetaplah', 'penting']","['juta', 'data', 'daftar', 'pemilih', 'dpt', 'situs', 'komisi', 'pemilihan', 'kpu', 'diduga', 'bocor', 'pakar', 'apapun', 'bocor', 'tetaplah']",juta data daftar pilih dpt situs komisi pilih kpu duga bocor pakar apa bocor tetap
"@Metro_TV Data pemilih yang terus bocor menjadi bukti bahwa KPU dan Kominfo seperti rumah tanpa pintu, terbuka lebar bagi setiap ancaman.",MetroTV Data pemilih yang terus bocor menjadi bukti bahwa KPU dan Kominfo seperti rumah tanpa pintu terbuka lebar bagi setiap ancaman,"['metrotv', 'data', 'pemilih', 'yang', 'terus', 'bocor', 'menjadi', 'bukti', 'bahwa', 'kpu', 'dan', 'kominfo', 'seperti', 'rumah', 'tanpa', 'pintu', 'terbuka', 'lebar', 'bagi', 'setiap', 'ancaman']","['metrotv', 'data', 'pemilih', 'bocor', 'bukti', 'kpu', 'kominfo', 'rumah', 'pintu', 'terbuka', 'lebar', 'ancaman']",metrotv data pilih bocor bukti kpu kominfo rumah pintu buka lebar ancam
